Subject	Run1	Run2	Displacement_mm
sub-01	02	03	0.8020019271514987
sub-01	03	04	1.819731658297431
sub-03	02	03	1.0932465424241975
sub-03	03	05	1.0298550684288288
sub-04	03	04	0.3421290044480908
sub-05	02	03	0.6835115724132973
sub-05	03	04	1.1922653178045146
sub-06	02	03	0.5467688303271677
sub-06	03	04	1.550208498506018
sub-07	02	03	1.3995603452424514
sub-07	03	04	1.3995603452424514
sub-07	04	05	0.0
sub-08	02	03	0.75256698126123
sub-08	03	04	0.36569430317064827
sub-10	03	04	0.4203157773188014
sub-12	02	03	0.9156514255220765
sub-12	03	04	0.5339511302147416
sub-13	02	03	2.03496148844256
sub-13	03	04	0.7782296107510427
sub-14	02	03	1.3143847217080193
sub-14	03	04	2.772523004737082
sub-15	07	08	0.9122376835501734
sub-15	08	09	1.3471061740573538
sub-16	03	04	2.0978422105265673
sub-16	04	05	0.18694351164171039
sub-16	05	06	0.6494133868928824
sub-17	04	05	9.016826307221338
sub-17	05	06	0.0
sub-18	02	03	0.6002036451783063
sub-18	03	04	0.9576816741150089
sub-19	02	03	11.014063140939687
sub-19	03	04	0.2404250468932213
sub-19	04	05	0.0
sub-20	02	03	1.1423500624670697
sub-20	03	04	0.8795753070777333
