	Sequence	Legality	Accuracy
0	1	Illegal	37.5
1	1	Legal	77.91666666666666
2	2	Illegal	45.416666666666664
3	2	Legal	78.19444444444444
4	3	Illegal	45.27777777777778
5	3	Legal	78.29861111111111
6	4	Illegal	49.72222222222222
7	4	Legal	82.36111111111111
8	5	Illegal	51.24183006535948
9	5	Legal	82.87581699346406
10	6	Illegal	50.71895424836602
11	6	Legal	80.52287581699346
12	7	Illegal	59.2156862745098
13	7	Legal	82.48366013071896
14	8	Illegal	56.470588235294116
15	8	Legal	79.47712418300654
16	9	Illegal	56.60130718954249
17	9	Legal	82.3529411764706
