	Subject	Sequence	Block	Legality	Accuracy
0	sub-01	1	1	Illegal	55.55555555555556
1	sub-01	1	1	Legal	88.88888888888889
2	sub-01	1	2	Illegal	55.55555555555556
3	sub-01	1	2	Legal	88.88888888888889
4	sub-01	1	3	Illegal	44.44444444444444
5	sub-01	1	3	Legal	100.0
6	sub-01	1	4	Illegal	44.44444444444444
7	sub-01	1	4	Legal	88.88888888888889
8	sub-01	1	5	Illegal	88.88888888888889
9	sub-01	1	5	Legal	88.88888888888889
10	sub-01	2	1	Illegal	66.66666666666666
11	sub-01	2	1	Legal	77.77777777777779
12	sub-01	2	2	Illegal	66.66666666666666
13	sub-01	2	2	Legal	88.88888888888889
14	sub-01	2	3	Illegal	66.66666666666666
15	sub-01	2	3	Legal	88.88888888888889
16	sub-01	2	4	Illegal	77.77777777777779
17	sub-01	2	4	Legal	88.88888888888889
18	sub-01	2	5	Illegal	77.77777777777779
19	sub-01	2	5	Legal	100.0
20	sub-01	3	1	Illegal	44.44444444444444
21	sub-01	3	1	Legal	88.88888888888889
22	sub-01	3	2	Illegal	66.66666666666666
23	sub-01	3	2	Legal	88.88888888888889
24	sub-01	3	3	Illegal	77.77777777777779
25	sub-01	3	3	Legal	88.88888888888889
26	sub-01	3	4	Illegal	66.66666666666666
27	sub-01	3	4	Legal	88.88888888888889
28	sub-01	3	5	Illegal	77.77777777777779
29	sub-01	3	5	Legal	88.88888888888889
30	sub-01	4	1	Illegal	66.66666666666666
31	sub-01	4	1	Legal	88.88888888888889
32	sub-01	4	2	Illegal	66.66666666666666
33	sub-01	4	2	Legal	88.88888888888889
34	sub-01	4	3	Illegal	88.88888888888889
35	sub-01	4	3	Legal	77.77777777777779
36	sub-01	4	4	Illegal	55.55555555555556
37	sub-01	4	4	Legal	66.66666666666666
38	sub-01	4	5	Illegal	66.66666666666666
39	sub-01	4	5	Legal	88.88888888888889
40	sub-01	5	1	Illegal	55.55555555555556
41	sub-01	5	1	Legal	100.0
42	sub-01	5	2	Illegal	77.77777777777779
43	sub-01	5	2	Legal	77.77777777777779
44	sub-01	5	3	Illegal	44.44444444444444
45	sub-01	5	3	Legal	100.0
46	sub-01	5	4	Illegal	77.77777777777779
47	sub-01	5	4	Legal	77.77777777777779
48	sub-01	5	5	Illegal	66.66666666666666
49	sub-01	5	5	Legal	88.88888888888889
50	sub-01	6	1	Illegal	88.88888888888889
51	sub-01	6	1	Legal	77.77777777777779
52	sub-01	6	2	Illegal	88.88888888888889
53	sub-01	6	2	Legal	88.88888888888889
54	sub-01	6	3	Illegal	100.0
55	sub-01	6	3	Legal	77.77777777777779
56	sub-01	6	4	Illegal	77.77777777777779
57	sub-01	6	4	Legal	88.88888888888889
58	sub-01	6	5	Illegal	88.88888888888889
59	sub-01	6	5	Legal	88.88888888888889
60	sub-01	7	1	Illegal	66.66666666666666
61	sub-01	7	1	Legal	77.77777777777779
62	sub-01	7	2	Illegal	88.88888888888889
63	sub-01	7	2	Legal	66.66666666666666
64	sub-01	7	3	Illegal	77.77777777777779
65	sub-01	7	3	Legal	77.77777777777779
66	sub-01	7	4	Illegal	77.77777777777779
67	sub-01	7	4	Legal	77.77777777777779
68	sub-01	7	5	Illegal	66.66666666666666
69	sub-01	7	5	Legal	100.0
70	sub-01	8	1	Illegal	77.77777777777779
71	sub-01	8	1	Legal	88.88888888888889
72	sub-01	8	2	Illegal	100.0
73	sub-01	8	2	Legal	77.77777777777779
74	sub-01	8	3	Illegal	66.66666666666666
75	sub-01	8	3	Legal	88.88888888888889
76	sub-01	8	4	Illegal	77.77777777777779
77	sub-01	8	4	Legal	88.88888888888889
78	sub-01	8	5	Illegal	88.88888888888889
79	sub-01	8	5	Legal	88.88888888888889
80	sub-01	9	1	Illegal	77.77777777777779
81	sub-01	9	1	Legal	100.0
82	sub-01	9	2	Illegal	77.77777777777779
83	sub-01	9	2	Legal	100.0
84	sub-01	9	3	Illegal	66.66666666666666
85	sub-01	9	3	Legal	100.0
86	sub-01	9	4	Illegal	88.88888888888889
87	sub-01	9	4	Legal	100.0
88	sub-01	9	5	Illegal	55.55555555555556
89	sub-01	9	5	Legal	77.77777777777779
90	sub-03	1	1	Illegal	44.44444444444444
91	sub-03	1	1	Legal	100.0
92	sub-03	1	2	Illegal	33.33333333333333
