	Subject	Sequence	Legality	Accuracy
0	sub-01	1	Illegal	57.777777777777786
1	sub-01	1	Legal	91.11111111111111
2	sub-01	2	Illegal	71.11111111111111
3	sub-01	2	Legal	88.88888888888889
4	sub-01	3	Illegal	66.66666666666666
5	sub-01	3	Legal	88.88888888888889
6	sub-01	4	Illegal	68.88888888888889
7	sub-01	4	Legal	82.22222222222221
8	sub-01	5	Illegal	64.44444444444444
9	sub-01	5	Legal	88.88888888888889
10	sub-01	6	Illegal	88.88888888888889
11	sub-01	6	Legal	84.44444444444444
12	sub-01	7	Illegal	75.55555555555556
13	sub-01	7	Legal	80.0
14	sub-01	8	Illegal	82.22222222222221
15	sub-01	8	Legal	86.66666666666666
16	sub-01	9	Illegal	73.33333333333334
17	sub-01	9	Legal	95.55555555555556
18	sub-03	1	Illegal	35.55555555555556
19	sub-03	1	Legal	88.88888888888889
20	sub-03	2	Illegal	46.666666666666664
21	sub-03	2	Legal	71.11111111111111
22	sub-03	3	Illegal	57.77777777777777
23	sub-03	3	Legal	93.33333333333333
24	sub-03	4	Illegal	62.222222222222214
25	sub-03	4	Legal	86.66666666666666
26	sub-03	5	Illegal	57.777777777777786
27	sub-03	5	Legal	93.33333333333333
28	sub-03	6	Illegal	57.77777777777777
29	sub-03	6	Legal	93.33333333333334
30	sub-03	7	Illegal	62.222222222222214
31	sub-03	7	Legal	97.77777777777779
32	sub-03	8	Illegal	66.66666666666666
33	sub-03	8	Legal	82.22222222222221
34	sub-03	9	Illegal	57.777777777777786
35	sub-03	9	Legal	82.22222222222223
36	sub-04	5	Illegal	46.666666666666664
37	sub-04	5	Legal	84.44444444444444
38	sub-04	6	Illegal	48.88888888888889
39	sub-04	6	Legal	95.55555555555556
40	sub-04	7	Illegal	57.77777777777777
41	sub-04	7	Legal	93.33333333333333
42	sub-04	8	Illegal	66.66666666666666
43	sub-04	8	Legal	95.55555555555556
44	sub-04	9	Illegal	57.777777777777786
45	sub-04	9	Legal	93.33333333333333
46	sub-05	1	Illegal	37.77777777777777
47	sub-05	1	Legal	75.55555555555557
48	sub-05	2	Illegal	44.44444444444444
49	sub-05	2	Legal	77.77777777777777
50	sub-05	3	Illegal	44.44444444444444
51	sub-05	3	Legal	77.77777777777779
52	sub-05	4	Illegal	57.777777777777786
53	sub-05	4	Legal	84.44444444444444
54	sub-05	5	Illegal	57.77777777777777
55	sub-05	5	Legal	88.88888888888889
56	sub-05	6	Illegal	51.11111111111111
57	sub-05	6	Legal	77.77777777777779
58	sub-05	7	Illegal	57.77777777777777
59	sub-05	7	Legal	84.44444444444444
60	sub-05	8	Illegal	62.222222222222214
61	sub-05	8	Legal	77.77777777777779
62	sub-05	9	Illegal	60.0
63	sub-05	9	Legal	84.44444444444444
64	sub-06	1	Illegal	48.88888888888889
65	sub-06	1	Legal	82.22222222222221
66	sub-06	2	Illegal	44.44444444444444
67	sub-06	2	Legal	77.77777777777779
68	sub-06	3	Illegal	55.55555555555556
69	sub-06	3	Legal	88.88888888888889
70	sub-06	4	Illegal	57.777777777777786
71	sub-06	4	Legal	95.55555555555556
72	sub-06	5	Illegal	77.77777777777779
73	sub-06	5	Legal	93.33333333333334
74	sub-06	6	Illegal	53.33333333333333
75	sub-06	6	Legal	88.88888888888889
76	sub-06	7	Illegal	68.88888888888889
77	sub-06	7	Legal	95.55555555555556
78	sub-06	8	Illegal	66.66666666666667
79	sub-06	8	Legal	82.22222222222223
80	sub-06	9	Illegal	66.66666666666667
81	sub-06	9	Legal	91.11111111111111
82	sub-07	1	Illegal	64.44444444444444
83	sub-07	1	Legal	66.66666666666666
84	sub-07	2	Illegal	75.55555555555557
85	sub-07	2	Legal	84.44444444444444
86	sub-07	3	Illegal	68.88888888888889
87	sub-07	3	Legal	73.33333333333334
88	sub-07	4	Illegal	60.0
89	sub-07	4	Legal	68.88888888888889
90	sub-07	5	Illegal	68.88888888888889
91	sub-07	5	Legal	77.77777777777779
92	sub-07	6	Illegal	64.44444444444444
93	sub-07	6	Legal	71.11111111111111
94	sub-07	7	Illegal	64.44444444444444
95	sub-07	7	Legal	77.77777777777779
96	sub-07	8	Illegal	75.55555555555556
97	sub-07	8	Legal	66.66666666666667
98	sub-07	9	Illegal	82.22222222222221
99	sub-07	9	Legal	71.11111111111111
100	sub-08	1	Illegal	24.44444444444444
101	sub-08	1	Legal	71.11111111111111
