	Subject	Sequence	Legality	Accuracy
102	sub-08	2	Illegal	31.111111111111107
103	sub-08	2	Legal	80.0
104	sub-08	3	Illegal	37.77777777777778
105	sub-08	3	Legal	82.22222222222221
106	sub-08	4	Illegal	44.44444444444444
107	sub-08	4	Legal	82.22222222222221
108	sub-08	5	Illegal	40.0
109	sub-08	5	Legal	80.0
110	sub-08	6	Illegal	31.111111111111107
111	sub-08	6	Legal	80.0
112	sub-08	7	Illegal	60.0
113	sub-08	7	Legal	75.55555555555556
114	sub-08	8	Illegal	60.0
115	sub-08	8	Legal	80.0
116	sub-08	9	Illegal	60.0
117	sub-08	9	Legal	84.44444444444444
118	sub-10	1	Illegal	11.11111111111111
119	sub-10	1	Legal	71.11111111111111
120	sub-10	2	Illegal	6.666666666666666
121	sub-10	2	Legal	77.77777777777779
122	sub-10	3	Illegal	11.11111111111111
123	sub-10	3	Legal	68.88888888888889
124	sub-10	4	Illegal	6.666666666666666
125	sub-10	4	Legal	64.44444444444443
126	sub-10	5	Illegal	8.88888888888889
127	sub-10	5	Legal	66.66666666666666
128	sub-10	6	Illegal	2.2222222222222223
129	sub-10	6	Legal	64.44444444444443
130	sub-10	7	Illegal	11.11111111111111
131	sub-10	7	Legal	62.222222222222214
132	sub-10	8	Illegal	11.11111111111111
133	sub-10	8	Legal	66.66666666666666
134	sub-10	9	Illegal	8.88888888888889
135	sub-10	9	Legal	66.66666666666666
136	sub-12	1	Illegal	15.555555555555554
137	sub-12	1	Legal	46.666666666666664
138	sub-12	2	Illegal	17.77777777777778
139	sub-12	2	Legal	51.11111111111111
140	sub-12	3	Illegal	22.22222222222222
141	sub-12	3	Legal	46.11111111111111
142	sub-12	4	Illegal	20.0
143	sub-12	4	Legal	51.11111111111111
144	sub-12	5	Illegal	15.555555555555554
145	sub-12	5	Legal	53.33333333333333
146	sub-12	6	Illegal	22.22222222222222
147	sub-12	6	Legal	40.0
148	sub-12	7	Illegal	17.77777777777778
149	sub-12	7	Legal	28.888888888888886
150	sub-12	8	Illegal	13.333333333333332
151	sub-12	8	Legal	42.222222222222214
152	sub-12	9	Illegal	13.333333333333332
153	sub-12	9	Legal	46.666666666666664
154	sub-13	1	Illegal	35.55555555555556
155	sub-13	1	Legal	91.11111111111111
156	sub-13	2	Illegal	40.0
157	sub-13	2	Legal	91.11111111111111
158	sub-13	3	Illegal	40.0
159	sub-13	3	Legal	82.22222222222223
160	sub-13	4	Illegal	57.777777777777786
161	sub-13	4	Legal	93.33333333333333
162	sub-13	5	Illegal	55.555555555555564
163	sub-13	5	Legal	86.66666666666667
164	sub-13	6	Illegal	57.777777777777786
165	sub-13	6	Legal	86.66666666666667
166	sub-13	7	Illegal	71.11111111111111
167	sub-13	7	Legal	95.55555555555556
168	sub-13	8	Illegal	55.55555555555556
169	sub-13	8	Legal	86.66666666666667
170	sub-13	9	Illegal	57.77777777777777
171	sub-13	9	Legal	86.66666666666666
172	sub-14	1	Illegal	64.44444444444444
173	sub-14	1	Legal	84.44444444444444
174	sub-14	2	Illegal	68.88888888888889
175	sub-14	2	Legal	82.22222222222221
176	sub-14	3	Illegal	73.33333333333333
177	sub-14	3	Legal	80.0
178	sub-14	4	Illegal	75.55555555555556
179	sub-14	4	Legal	88.88888888888889
180	sub-14	5	Illegal	82.22222222222221
181	sub-14	5	Legal	84.44444444444444
182	sub-14	6	Illegal	95.55555555555556
183	sub-14	6	Legal	82.22222222222223
184	sub-14	7	Illegal	91.11111111111111
185	sub-14	7	Legal	82.22222222222223
186	sub-14	8	Illegal	86.66666666666666
187	sub-14	8	Legal	84.44444444444444
188	sub-14	9	Illegal	95.55555555555556
189	sub-14	9	Legal	84.44444444444444
190	sub-15	1	Illegal	17.77777777777778
191	sub-15	1	Legal	73.33333333333333
192	sub-15	2	Illegal	26.666666666666664
193	sub-15	2	Legal	71.11111111111111
194	sub-15	3	Illegal	31.111111111111107
195	sub-15	3	Legal	60.0
196	sub-15	4	Illegal	48.888888888888886
197	sub-15	4	Legal	82.22222222222221
198	sub-15	5	Illegal	35.55555555555556
199	sub-15	5	Legal	73.33333333333334
200	sub-15	6	Illegal	35.55555555555556
201	sub-15	6	Legal	68.88888888888889
202	sub-15	7	Illegal	60.0
203	sub-15	7	Legal	66.66666666666666
204	sub-15	8	Illegal	42.222222222222214
205	sub-15	8	Legal	75.55555555555557
206	sub-15	9	Illegal	48.88888888888889
207	sub-15	9	Legal	71.11111111111111
208	sub-16	1	Illegal	53.333333333333336
209	sub-16	1	Legal	93.33333333333334
210	sub-16	2	Illegal	66.66666666666666
211	sub-16	2	Legal	82.22222222222221
212	sub-16	3	Illegal	48.88888888888889
213	sub-16	3	Legal	88.88888888888889
214	sub-16	4	Illegal	51.11111111111111
215	sub-16	4	Legal	91.11111111111111
216	sub-16	5	Illegal	55.55555555555556
217	sub-16	5	Legal	77.77777777777777
218	sub-16	6	Illegal	42.222222222222214
219	sub-16	6	Legal	93.33333333333334
220	sub-16	7	Illegal	55.55555555555556
221	sub-16	7	Legal	91.11111111111111
222	sub-16	8	Illegal	48.88888888888889
223	sub-16	8	Legal	88.88888888888889
224	sub-16	9	Illegal	60.0
225	sub-16	9	Legal	95.55555555555556
226	sub-17	1	Illegal	46.666666666666664
227	sub-17	1	Legal	82.22222222222221
228	sub-17	2	Illegal	55.55555555555556
229	sub-17	2	Legal	84.44444444444444
230	sub-17	3	Illegal	35.55555555555556
231	sub-17	3	Legal	75.55555555555557
232	sub-17	4	Illegal	35.55555555555556
233	sub-17	4	Legal	80.0
234	sub-17	5	Illegal	46.666666666666664
235	sub-17	5	Legal	84.44444444444444
236	sub-17	6	Illegal	37.77777777777778
237	sub-17	6	Legal	86.66666666666666
238	sub-17	7	Illegal	42.222222222222214
239	sub-17	7	Legal	86.66666666666667
240	sub-17	8	Illegal	53.33333333333333
241	sub-17	8	Legal	80.0
242	sub-17	9	Illegal	42.222222222222214
243	sub-17	9	Legal	95.55555555555556
244	sub-18	1	Illegal	22.22222222222222
245	sub-18	1	Legal	84.44444444444444
246	sub-18	2	Illegal	35.55555555555556
247	sub-18	2	Legal	84.44444444444444
248	sub-18	3	Illegal	40.0
249	sub-18	3	Legal	80.0
250	sub-18	4	Illegal	55.55555555555556
251	sub-18	4	Legal	88.88888888888889
252	sub-18	5	Illegal	55.55555555555556
253	sub-18	5	Legal	86.66666666666666
254	sub-18	6	Illegal	46.666666666666664
255	sub-18	6	Legal	86.66666666666666
256	sub-18	7	Illegal	64.44444444444444
257	sub-18	7	Legal	95.55555555555556
258	sub-18	8	Illegal	51.11111111111111
259	sub-18	8	Legal	84.44444444444444
260	sub-18	9	Illegal	48.88888888888889
261	sub-18	9	Legal	75.55555555555556
262	sub-19	1	Illegal	40.0
263	sub-19	1	Legal	60.0
264	sub-19	2	Illegal	68.88888888888889
265	sub-19	2	Legal	80.0
266	sub-19	3	Illegal	64.44444444444444
267	sub-19	3	Legal	82.22222222222221
268	sub-19	4	Illegal	62.222222222222214
269	sub-19	4	Legal	93.33333333333333
270	sub-19	5	Illegal	57.77777777777777
271	sub-19	5	Legal	100.0
272	sub-19	6	Illegal	66.66666666666667
273	sub-19	6	Legal	88.88888888888889
274	sub-19	7	Illegal	75.55555555555556
275	sub-19	7	Legal	91.11111111111111
276	sub-19	8	Illegal	66.66666666666666
277	sub-19	8	Legal	75.55555555555556
278	sub-19	9	Illegal	80.0
279	sub-19	9	Legal	82.22222222222221
280	sub-20	1	Illegal	24.444444444444443
281	sub-20	1	Legal	84.44444444444444
282	sub-20	2	Illegal	26.666666666666664
283	sub-20	2	Legal	66.66666666666667
284	sub-20	3	Illegal	26.666666666666664
285	sub-20	3	Legal	84.44444444444444
286	sub-20	4	Illegal	31.111111111111107
287	sub-20	4	Legal	84.44444444444444
288	sub-20	5	Illegal	44.44444444444444
289	sub-20	5	Legal	88.88888888888889
290	sub-20	6	Illegal	60.0
291	sub-20	6	Legal	80.0
292	sub-20	7	Illegal	71.11111111111111
293	sub-20	7	Legal	97.77777777777779
294	sub-20	8	Illegal	51.11111111111111
295	sub-20	8	Legal	95.55555555555556
296	sub-20	9	Illegal	48.888888888888886
297	sub-20	9	Legal	93.33333333333333
