	Subject	Legality	Accuracy
0	sub-01	Illegal	72.09876543209876
1	sub-01	Legal	87.4074074074074
2	sub-03	Illegal	56.04938271604938
3	sub-03	Legal	87.65432098765432
4	sub-04	Illegal	55.55555555555556
5	sub-04	Legal	92.44444444444443
6	sub-05	Illegal	52.59259259259259
7	sub-05	Legal	80.98765432098766
8	sub-06	Illegal	60.0
9	sub-06	Legal	88.39506172839506
10	sub-07	Illegal	69.38271604938271
11	sub-07	Legal	73.08641975308642
12	sub-08	Illegal	43.20987654320987
13	sub-08	Legal	79.50617283950618
14	sub-10	Illegal	8.641975308641975
15	sub-10	Legal	67.65432098765432
16	sub-12	Illegal	17.530864197530864
17	sub-12	Legal	45.123456790123456
18	sub-13	Illegal	52.345679012345684
19	sub-13	Legal	88.88888888888889
20	sub-14	Illegal	81.48148148148148
21	sub-14	Legal	83.7037037037037
22	sub-15	Illegal	38.51851851851852
23	sub-15	Legal	71.35802469135803
24	sub-16	Illegal	53.58024691358024
25	sub-16	Legal	89.13580246913581
26	sub-17	Illegal	43.95061728395061
27	sub-17	Legal	83.95061728395062
28	sub-18	Illegal	46.666666666666664
29	sub-18	Legal	85.18518518518519
30	sub-19	Illegal	64.69135802469135
31	sub-19	Legal	83.7037037037037
32	sub-20	Illegal	42.71604938271605
33	sub-20	Legal	86.17283950617283
