Stimulus	Accuracy
klift	1
gbamch	1
plouks	0
jnakch	1
bnigd	0
gzouls	1
pnoulf	0
kgnamj	1
kpimt	1
psalb	1
pkoung	1
tsalp	1
djilk	1
bjoumg	1
mzanf	0
stalm	1
mlagnk	0
snoupt	1
jnakch	1
plouks	0
pnoulf	1
kgnamj	1
gbamch	1
klift	1
tsalp	1
pkoung	1
psalb	0
kpimt	1
stalm	0
mzanf	1
snoupt	1
mlagnk	0
djilk	1
bjoumg	1
gzouls	1
bnigd	1
plouks	0
jnakch	1
gbamch	1
klift	1
mlagnk	0
snoupt	1
gzouls	1
bnigd	0
tsalp	1
pkoung	1
kpimt	1
psalb	0
stalm	1
mzanf	1
bjoumg	1
djilk	1
pnoulf	1
kgnamj	1
bjoumg	1
djilk	0
psalb	1
kpimt	1
gbamch	1
klift	1
gzouls	1
bnigd	1
stalm	1
mzanf	0
kgnamj	1
pnoulf	1
snoupt	1
mlagnk	0
jnakch	1
plouks	0
tsalp	1
pkoung	1
pkoung	1
tsalp	1
gzouls	1
bnigd	0
pnoulf	1
kgnamj	1
kpimt	1
psalb	1
klift	1
gbamch	0
snoupt	1
mlagnk	0
stalm	1
mzanf	1
plouks	1
jnakch	1
djilk	1
bjoumg	1
