Stimulus	Accuracy
plouks	1
jnakch	0
pnoulf	1
kgnamj	1
bjoumg	0
djilk	1
psalb	1
kpimt	1
mzanf	1
stalm	1
mlagnk	1
snoupt	1
gzouls	1
bnigd	0
klift	1
gbamch	0
pkoung	1
tsalp	1
kgnamj	1
pnoulf	1
pkoung	1
tsalp	0
djilk	0
bjoumg	0
mzanf	1
stalm	1
gbamch	1
klift	1
jnakch	1
plouks	1
snoupt	1
mlagnk	1
psalb	1
kpimt	0
bnigd	1
gzouls	1
bjoumg	0
djilk	1
kgnamj	0
pnoulf	1
psalb	1
kpimt	1
stalm	1
mzanf	1
bnigd	1
gzouls	1
snoupt	1
mlagnk	0
jnakch	0
plouks	1
pkoung	0
tsalp	1
gbamch	1
klift	1
pkoung	0
tsalp	1
snoupt	1
mlagnk	1
psalb	0
kpimt	1
bnigd	1
gzouls	1
klift	0
gbamch	1
jnakch	1
plouks	1
djilk	1
bjoumg	0
pnoulf	1
kgnamj	1
mzanf	1
stalm	1
gzouls	1
bnigd	0
bjoumg	0
djilk	1
pkoung	1
tsalp	1
klift	1
gbamch	1
pnoulf	1
kgnamj	1
mlagnk	1
snoupt	1
jnakch	1
plouks	1
kpimt	0
psalb	0
mzanf	1
stalm	1
