Stimulus	Accuracy
pkoung	1
tsalp	0
klift	1
gbamch	1
gzouls	1
bnigd	1
jnakch	1
plouks	0
bjoumg	1
djilk	1
pnoulf	1
kgnamj	1
mlagnk	0
snoupt	1
mzanf	1
stalm	1
psalb	1
kpimt	1
kgnamj	1
pnoulf	1
bnigd	1
gzouls	1
plouks	0
jnakch	1
mlagnk	1
snoupt	1
kpimt	1
psalb	1
mzanf	1
stalm	1
bjoumg	1
djilk	1
klift	1
gbamch	0
tsalp	1
pkoung	1
bnigd	1
gzouls	1
psalb	1
kpimt	1
tsalp	1
pkoung	1
klift	1
gbamch	1
mzanf	1
stalm	0
mlagnk	1
snoupt	1
djilk	1
bjoumg	1
plouks	0
jnakch	1
pnoulf	1
kgnamj	1
pnoulf	1
kgnamj	1
mzanf	1
stalm	1
snoupt	1
mlagnk	0
kpimt	0
psalb	1
klift	1
gbamch	1
bjoumg	1
djilk	1
gzouls	1
bnigd	1
pkoung	1
tsalp	1
jnakch	1
plouks	0
bnigd	1
gzouls	1
mzanf	0
stalm	1
kpimt	1
psalb	1
pnoulf	1
kgnamj	1
klift	1
gbamch	1
bjoumg	1
djilk	1
mlagnk	1
snoupt	1
tsalp	1
pkoung	1
plouks	0
jnakch	1
