condition	WORD	BITMAP	WAV	trigg	Response	delayed_feedback	meg_trigger	AbsoluteOrder	ONSETS_TRIGGERS	ONSETS_MS	REPONSE_1	JUSTE	INSTANT_REPONSE	TEMPS_REACTION	EXACT
instruction	Noir	Black	Rien	30	0	0	0	0	0	0	0	0	0		NA
filler	Noir	Black	silence	30	0	0	0	28	3233	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	41	4926	0	0	0	0		NA
pres	gbamch	BlackMEG	gbamch_660ms	8	1	0	14	42	5053	0	0	0	4294962243		1
resp	Noir	Black	Rien	15	0	0	0	50	5800	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	65	7300	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	74	8200	0	0	0	0		NA
pres	klift	BlackMEG	klift_660ms	8	1	0	12	84	9200	0	0	0	4294958096		1
resp	Noir	Black	Rien	15	0	0	0	92	10000	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	107	11500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	112	12000	0	0	0	0		NA
pres	mlagnk	BlackMEG	mlagnk_660ms	8	1	0	14	122	13000	0	0	0	4294954296		1
resp	Noir	Black	Rien	15	0	0	0	130	13800	0	0	0	0		NA
jitter	Noir	Black	Rien	9	0	0	0	145	15300	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	154	16200	0	0	0	0		NA
pres	snoupt	BlackMEG	snoupt_660ms	8	1	0	12	164	17200	0	0	0	4294950096		1
resp	Noir	Black	Rien	15	0	0	0	172	18000	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	187	19500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	194	20200	0	0	0	0		NA
pres	jnakch	BlackMEG	jnakch_660ms	8	1	0	14	204	21200	0	0	0	4294946096		1
resp	Noir	Black	Rien	15	0	0	0	212	22000	0	0	0	0		NA
jitter	Noir	Black	Rien	8	0	0	0	227	23500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	235	24300	0	0	0	0		NA
pres	plouks	BlackMEG	plouks_660ms	8	1	0	12	245	25300	0	0	0	4294941996		1
resp	Noir	Black	Rien	15	0	0	0	253	26100	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	268	27600	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	272	28001	0	0	0	0		NA
pres	kgnamj	BlackMEG	kgnamj_660ms	8	1	0	14	282	29000	0	0	0	4294938296		0
resp	Noir	Black	Rien	15	0	0	0	290	29800	0	0	0	0		NA
jitter	Noir	Black	Rien	5	0	0	0	305	31300	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	310	31800	0	0	0	0		NA
pres	pnoulf	BlackMEG	pnoulf_660ms	8	1	0	12	320	32800	0	0	0	4294934496		1
resp	Noir	Black	Rien	15	0	0	0	328	33600	0	0	0	0		NA
jitter	Noir	Black	Rien	7	0	0	0	343	35100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	350	35800	0	0	0	0		NA
pres	kpimt	BlackMEG	kpimt_660ms	8	1	0	14	360	36800	0	0	0	4294930496		1
resp	Noir	Black	Rien	15	0	0	0	368	37600	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	383	39100	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	387	39500	0	0	0	0		NA
pres	psalb	BlackMEG	psalb_660ms	8	1	0	12	397	40500	0	0	0	4294926796		1
resp	Noir	Black	Rien	15	0	0	0	405	41300	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	420	42800	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	424	43200	0	0	0	0		NA
pres	pkoung	BlackMEG	pkoung_660ms	8	1	0	14	434	44200	0	0	0	4294923096		1
resp	Noir	Black	Rien	15	0	0	0	442	45000	0	0	0	0		NA
jitter	Noir	Black	Rien	4	0	0	0	457	46500	0	0	0	0		NA
fixation_cross	+	BlackMEG	Rien	10	0	0	100	461	46900	0	0	0	0		NA
pres	tsalp	BlackMEG	tsalp_660ms	8	1	0	12	471	47900	0	0	0	4294919396		1
