Stimulus	Accuracy
plouks	1
jnakch	1
pnoulf	0
kgnamj	0
gzouls	1
bnigd	0
pkoung	0
tsalp	1
djilk	1
bjoumg	0
snoupt	1
mlagnk	1
kpimt	1
psalb	1
mzanf	0
stalm	1
klift	1
gbamch	1
mlagnk	1
snoupt	1
klift	1
gbamch	1
pkoung	0
tsalp	1
bnigd	0
gzouls	1
bjoumg	1
djilk	1
psalb	1
kpimt	1
kgnamj	1
pnoulf	0
jnakch	1
plouks	1
mzanf	0
stalm	1
pnoulf	1
kgnamj	0
bnigd	1
gzouls	1
tsalp	1
pkoung	1
stalm	0
mzanf	0
gbamch	1
klift	1
jnakch	1
plouks	1
psalb	1
kpimt	1
snoupt	1
mlagnk	1
djilk	1
bjoumg	1
kpimt	1
psalb	1
gzouls	1
bnigd	0
stalm	0
mzanf	0
bjoumg	0
djilk	1
gbamch	1
klift	1
tsalp	1
pkoung	1
plouks	1
jnakch	1
pnoulf	1
kgnamj	1
mlagnk	1
snoupt	1
tsalp	1
pkoung	1
jnakch	1
plouks	1
mzanf	1
stalm	1
psalb	1
kpimt	1
snoupt	1
mlagnk	1
pnoulf	1
kgnamj	1
gzouls	1
bnigd	0
gbamch	1
klift	1
bjoumg	0
djilk	0
