Stimulus	Accuracy
mzanf	1
stalm	1
plouks	0
jnakch	1
psalb	1
kpimt	1
gbamch	1
klift	1
pkoung	1
tsalp	1
djilk	1
bjoumg	0
kgnamj	0
pnoulf	1
mlagnk	1
snoupt	1
gzouls	1
bnigd	1
jnakch	1
plouks	0
djilk	1
bjoumg	1
gzouls	1
bnigd	1
mlagnk	1
snoupt	1
stalm	1
mzanf	1
kgnamj	1
pnoulf	1
kpimt	1
psalb	1
pkoung	1
tsalp	1
gbamch	1
klift	0
plouks	0
jnakch	1
bjoumg	1
djilk	1
gzouls	1
bnigd	1
klift	1
gbamch	0
kpimt	1
psalb	1
pnoulf	1
kgnamj	1
mlagnk	1
snoupt	1
mzanf	0
stalm	1
tsalp	1
pkoung	0
pnoulf	1
kgnamj	0
kpimt	1
psalb	1
gbamch	1
klift	1
plouks	0
jnakch	1
pkoung	1
tsalp	1
bnigd	1
gzouls	1
mlagnk	1
snoupt	1
bjoumg	1
djilk	1
stalm	1
mzanf	0
gbamch	1
klift	1
stalm	1
mzanf	1
djilk	1
bjoumg	1
jnakch	1
plouks	0
kgnamj	1
pnoulf	1
pkoung	1
tsalp	1
mlagnk	1
snoupt	1
gzouls	1
bnigd	1
kpimt	0
psalb	1
