Stimulus	Accuracy
bjoumg	1
djilk	1
psalb	0
kpimt	1
klift	1
gbamch	1
pnoulf	1
kgnamj	0
stalm	1
mzanf	0
snoupt	1
mlagnk	0
gzouls	1
bnigd	1
pkoung	1
tsalp	1
jnakch	1
plouks	1
gzouls	1
bnigd	1
psalb	1
kpimt	1
snoupt	0
mlagnk	0
mzanf	0
stalm	1
klift	1
gbamch	1
tsalp	1
pkoung	1
pnoulf	1
kgnamj	0
plouks	1
jnakch	1
bjoumg	1
djilk	1
bnigd	1
gzouls	0
psalb	0
kpimt	1
mlagnk	0
snoupt	1
gbamch	1
klift	1
djilk	1
bjoumg	1
jnakch	1
plouks	1
mzanf	1
stalm	1
pnoulf	1
kgnamj	1
tsalp	1
pkoung	1
jnakch	0
plouks	1
kpimt	1
psalb	0
mzanf	1
stalm	1
tsalp	1
pkoung	1
gzouls	1
bnigd	0
snoupt	0
mlagnk	0
gbamch	1
klift	1
kgnamj	0
pnoulf	1
djilk	0
bjoumg	1
snoupt	1
mlagnk	0
klift	1
gbamch	1
stalm	1
mzanf	0
tsalp	1
pkoung	1
kgnamj	0
pnoulf	1
kpimt	1
psalb	0
jnakch	1
plouks	1
gzouls	1
bnigd	1
djilk	1
bjoumg	1
