Stimulus	Accuracy
djilk	1
bjoumg	1
tsalp	1
pkoung	1
mzanf	0
stalm	1
jnakch	0
plouks	0
klift	1
gbamch	0
psalb	0
kpimt	1
bnigd	1
gzouls	1
snoupt	1
mlagnk	1
pnoulf	1
kgnamj	1
bjoumg	1
djilk	1
gbamch	1
klift	1
pkoung	0
tsalp	1
bnigd	1
gzouls	1
mlagnk	0
snoupt	1
kpimt	1
psalb	1
plouks	1
jnakch	1
kgnamj	1
pnoulf	0
mzanf	0
stalm	1
stalm	1
mzanf	0
tsalp	1
pkoung	0
djilk	1
bjoumg	1
snoupt	1
mlagnk	1
klift	1
gbamch	1
kgnamj	1
pnoulf	1
gzouls	0
bnigd	1
psalb	1
kpimt	0
jnakch	1
plouks	1
tsalp	1
pkoung	1
mzanf	0
stalm	1
pnoulf	1
kgnamj	1
snoupt	1
mlagnk	1
psalb	0
kpimt	1
djilk	1
bjoumg	1
gzouls	1
bnigd	1
plouks	1
jnakch	1
gbamch	0
klift	1
pnoulf	1
kgnamj	1
pkoung	0
tsalp	1
gbamch	1
klift	1
mzanf	1
stalm	1
bjoumg	1
djilk	1
snoupt	1
mlagnk	1
kpimt	0
psalb	1
jnakch	1
plouks	1
bnigd	1
gzouls	1
